i,j,ckt_id
572,346111,B
573,338200,A
574,573,_N
575,346071,1
576,346063,1
576,346167,1
578,344877,2
578,347379,A
579,-300599,A
581,-300526,A
582,346006,A
582,346096,NO
583,344416,1
583,345055,Z
585,586,_3
588,344132,1
590,345193,_1
592,563,C
592,345193,1
592,346009,B
594,-300121,A
594,345790,1
595,345240,_2
595,345241,Z
597,96068,A
598,-8,A
598,345992,1
599,346122,1
599,346146,1
601,345393,2
602,345396,1
602,345407,1
603,345397,1
603,345407,B
604,344959,Z
604,345399,1
604,345407,1
605,-301542,A
605,345511,1
606,626,1
607,345598,1
611,345711,2
612,345951,1
613,346140,1
613,346140,2
614,345427,1
614,345755,A
615,614,1
616,344177,E
616,345222,1
617,-300075,1
617,345790,C
618,345799,A
619,-345888,1
620,-346751,1
621,348376,A
622,344805,1
623,344183,KV
624,346146,_1
626,572,A
627,344195,X1
628,346108,1
629,628,_1
630,345986,M2
632,631,1
632,235131,1
633,-242516,1
633,235102,5
633,242925,1
634,235506,2
635,637,2
635,235475,1
637,235123,1
637,235123,2
639,235382,1
641,235329,2
641,235408,1
642,647,2
642,235272,2
643,235526,1
644,235506,3
644,235506,4
645,235755,1
645,235756,1
645,235757,1
649,235423,1
653,235277,5
653,235277,6
653,235277,7
654,340078,1
658,-350211,1
658,340169,1
659,340036,1
659,340040,1
659,340055,1
659,340055,2
659,340104,1
659,340105,1
659,340616,1
659,340616,2
660,340002,1
661,660,1
661,340001,1
661,340117,1
661,340166,1
661,340551,1
661,340551,2
662,340106,1
662,340110,1
662,340111,1
664,340133,1
664,340983,1
665,958,1
665,272480,1
665,272482,1
666,272481,1
666,272483,1
668,36004,1
669,271725,1
670,271660,1
670,272654,4
671,272745,1
672,778,1
672,271661,1
673,674,2
673,949,2
674,272795,1
675,271185,1
675,271663,1
676,271130,1
676,271550,1
677,673,1
677,950,2
678,677,1
678,951,1
679,36040,6
679,36052,1
679,271919,1
679,273232,3
679,273235,4
679,274203,8
681,680,1
681,682,1
681,36067,38
681,272383,1
682,272133,1
684,685,1
684,271113,1
685,804,2
686,729,1
686,36085,6
686,36086,1
686,272236,1
687,271009,2
688,689,2
688,741,2
689,36100,1
689,36105,1
689,272272,2
690,735,1
690,272240,1
692,710,1
692,272789,2
693,36126,1
694,271202,1
695,692,1
695,36139,1
695,271337,2
695,271785,1
696,271649,1
697,916,3
697,272127,1
698,915,1
698,271405,1
700,271058,1
700,271178,1
702,753,1
702,271676,3
703,36182,1
703,271677,1
704,705,1
704,706,1
706,271183,1
707,36185,_P
707,270716,1
707,270730,1
708,272755,1
709,271066,1
709,272754,Z1
711,273097,1
712,272800,Z1
713,270762,1
714,271917,1
715,756,1
716,766,2
717,36268,1
717,272121,1
718,837,1
718,36205,1
719,737,4
719,272193,1
720,838,1
720,272118,1
721,722,1
721,751,1
723,271188,1
723,272956,1
725,271913,1
726,36216,8
727,272379,1
728,-3078,1
728,36239,1
730,271398,1
731,799,1
731,271079,1
732,943,1
732,272373,1
732,272456,1
733,36246,1
736,271578,1
736,271720,1
740,272274,1
747,272262,1
748,271121,1
749,271913,1
751,36288,71
752,36289,72
755,722,3
762,36305,1
763,36306,1
764,36307,1
765,762,2
765,764,1
765,822,1
765,271491,1
765,272133,1
767,271188,1
768,272956,1
769,272371,1
771,271789,Z1
772,771,8
772,271788,6
772,271788,7
773,729,2
775,271663,1
779,668,2
780,827,2
782,272507,1
783,790,1
783,273081,2
784,273044,3
785,272990,1
786,273120,2
787,273043,1
788,273036,1
790,784,2
790,785,1
790,786,3
790,273045,1
791,272991,1
792,793,1
793,272456,1
794,272489,1
795,36382,_P
795,270713,1
795,270715,1
795,270812,1
796,792,1
797,36379,1
797,36380,1
797,271128,1
797,271656,1
797,272034,2
798,271780,2
800,273083,1
801,272092,1
801,272354,1
806,271116,1
807,705,1
809,272763,1
812,274226,8
812,274227,9
813,274226,6
813,274227,7
815,274255,8
816,271496,1
817,759,3
817,271776,1
817,271841,1
818,824,1
818,271246,1
818,271968,1
819,272202,1
820,271977,1
821,271649,1
821,272451,1
823,272190,3
825,818,2
826,271226,1
827,36542,1
828,839,2
828,271222,1
828,271674,1
828,271996,1
831,273111,1
832,36682,1
832,273108,1
833,273108,1
834,272956,1
834,273111,2
835,273111,1
836,942,1
841,271656,1
842,274190,6
843,274170,7
843,274171,9
844,274170,8
845,272587,1
846,36500,1
846,271091,2
847,271088,1
848,271647,1
849,271252,1
850,728,1
850,36440,1
850,36442,1
851,36440,1
851,36442,1
851,271242,1
851,271733,2
852,272587,1
853,272586,1
854,272587,1
856,36453,1
857,859,1
857,272486,1
858,814,2
858,860,1
858,271063,1
859,271400,1
859,274257,6
859,274257,7
860,274257,8
861,36464,2
861,36464,38
861,255190,1
861,271173,1
861,272481,1
863,271293,1
864,817,1
866,869,1
866,271463,1
868,271466,1
870,867,1
870,271466,1
871,680,1
872,877,1
873,271259,1
874,271832,1
875,710,1
875,36471,1
875,36472,1
875,36473,4
875,271143,1
875,272140,1
875,272142,1
876,273043,1
877,272471,1
877,272473,2
878,879,1
878,271411,1
879,272121,1
879,272793,1
880,882,2
880,272470,1
881,272466,1
881,272475,1
882,878,3
882,36491,1
882,36492,1
882,272466,3
884,885,1
884,271310,1
885,800,1
885,272990,1
885,273032,1
885,273120,1
886,36502,10
886,271837,2
887,36504,T1
887,36504,T2
887,270819,2
888,36506,R1
888,270824,2
889,36507,2
889,270824,4
890,36519,5
891,36520,8
892,36519,6
893,36520,9
894,270853,1
895,36530,1
895,36531,2
895,271588,1
896,36535,13
896,36536,13
897,272756,1
898,274737,1
898,274739,1
899,900,2
899,271066,1
900,274738,1
900,274740,1
901,36550,R1
902,274723,1
903,36562,1
904,36584,1
904,271180,1
904,271660,1
905,672,1
908,36591,T1
908,270721,2
909,36417,1
910,272792,1
911,802,2
911,271254,1
918,272353,1
919,36618,1
919,36619,1
919,271391,1
919,272075,1
919,274748,1
920,698,2
920,699,1
920,36622,1
920,36623,5
920,36624,1
920,271198,1
920,271199,1
920,272127,1
920,272186,1
921,271481,2
922,271098,2
929,271786,3
930,271213,2
931,272124,1
932,271724,1
934,691,1
934,36648,13
934,36649,13
934,36650,13
935,36649,13
935,36650,13
935,36651,13
935,272318,2
938,36020,1
938,36663,1
938,36664,1
938,271550,1
938,271554,1
938,271569,1
938,271923,1
938,272254,Z1
938,274205,6
938,274205,7
938,274205,9
939,-348935,1
939,274214,6
940,271987,Z1
940,272318,2
940,274214,7
941,36670,1
941,272095,1
941,272367,1
941,272505,1
946,-349662,3
946,-349662,5
947,270747,3
947,274749,1
948,862,1
948,272075,2
953,272730,1
954,722,1
954,36702,_S
954,36703,2
954,270954,1
954,270955,1
954,271585,1
954,271890,1
954,272738,3
954,272896,1
955,271109,1
955,271211,1
955,272591,1
955,272743,1
955,272783,1
955,274274,1
956,36707,4
956,271666,1
956,272590,1
956,272782,1
956,274274,2
956,274687,1
957,789,2
959,249894,1
961,960,1
961,962,1
962,249871,1
962,249872,1
963,964,1
963,249634,1
965,250442,1
965,250469,1
966,250469,1
967,249842,1
967,249843,1
969,250309,1
969,250758,1
969,250988,2
970,249606,1
970,250407,1
971,250382,1
971,250385,2
972,250391,Z1
973,250578,2
973,250716,1
973,250932,1
975,244658,1
975,244658,3
975,308233,2
979,250592,1
980,250668,1
981,250290,1
981,250966,1
984,250602,2
984,250757,1
986,250438,1
986,250440,1
987,250345,1
988,250602,1
989,250357,1
990,991,3
990,250891,1
992,249717,1
994,303137,1
994,500540,1
994,500720,1
994,500780,1
995,2599,A
995,50011,1
995,50011,F2
995,500220,1
995,500240,1
995,500500,1
